                                                                                Bank  of  Maharashtra                                                       Date: 07-MAR-25 02:56:42
                                                                          BOM_POSITION_OF_SUSPENSE_ACCOUNTS                                                                Page:   1
                                                                                As on date : 06-Mar-2025                                                                               
                                                                                                                                                                                    
Currency: INR                                                                                                                                                                       
 Branch=09999 (CENTRAL OFFICE)                                                                                                                                             
Branch                                 MULTI REMIT         TRICKLE FEED        O L R R             TECH CONTRA         CGL SUSPENSE        NEFT SUSPENSE       RTGS SUSPENSE        
02311 RAMNAGAR UTTARAKHAND                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02312 VIKASNAGAR                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02313 TANAKPUR                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02314 AMROHA                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02315 DINDORI M P                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02316 BARGAWAN                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02317 JAJAPUR BHUBANESWAR                      0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02318 BAUDHGARH                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02319 BUNDI                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
                                                                                Bank  of  Maharashtra                                                       Date: 07-MAR-25 02:56:42
                                                                          BOM_POSITION_OF_SUSPENSE_ACCOUNTS                                                                Page:  47
                                                                                As on date : 06-Mar-2025                                                                               
                                                                                                                                                                                    
Currency: INR                                                                                                                                                                       
 Branch=09999 (CENTRAL OFFICE)                                                                                                                                             
Branch                                 MULTI REMIT         TRICKLE FEED        O L R R             TECH CONTRA         CGL SUSPENSE        NEFT SUSPENSE       RTGS SUSPENSE        
---------------------------------------==================  ==================  ==================  ==================  ==================  ==================  ==================   
02320 ETAWAH                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02321 GORAKHNATH                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02322 BARAN                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02323 KATRA                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02324 UDHAMPUR                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02325 KHARAR                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02326 BANKA                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02327 LALPUR                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02328 MORABADI                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02329 MEMCO MORE                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02330 GARHWA                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02331 NIWARI                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02332 CHAMBA                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02333 HFB BHOPAL                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02334 SECTOR-11 PANIPAT                        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02335 MOWA                                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02336 NEW TOWN                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02337 MULUGU                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02338 NARAYANPET                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02339 BHUPALPALLE                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02340 HINDAUN                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02341 MODEL TOWN SONIPAT                       0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02342 JEYPUR                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02343 KHARIAR ROAD                             0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02344 NUH                                      0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02345 MADHURWADA                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02346 NANDYAL                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02347 KANKER                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02348 ADIPUR                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02349 DEESA                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02350 KALOL                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02351 NAMBOL                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02352 NAHARLAGUN                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02353 SECTOR 13 17 PANIPAT                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02354 FAIRLANDS SALEM                          0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02355 LAJPAT NAGAR                             0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02356 DILSHAD GARDEN                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02357 BAHADUR KE ROAD                          0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02358 KITCHLU NAGAR                            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02359 ALIPURDAUR                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02360 MIDNAPORE                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02361 KALYANI                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02362 GBB BHOPAL                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02363 HFB WAKAD                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02364 BELTOLA                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02365 DHUBRI                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02366 MALIGAON                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02367 ULUBARI                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02368 ADOOR                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02369 MID CORPORATE BRANCH ERNAKULAM           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
                                                                                Bank  of  Maharashtra                                                       Date: 07-MAR-25 02:56:42
                                                                          BOM_POSITION_OF_SUSPENSE_ACCOUNTS                                                                Page:  48
                                                                                As on date : 06-Mar-2025                                                                               
                                                                                                                                                                                    
Currency: INR                                                                                                                                                                       
 Branch=09999 (CENTRAL OFFICE)                                                                                                                                             
Branch                                 MULTI REMIT         TRICKLE FEED        O L R R             TECH CONTRA         CGL SUSPENSE        NEFT SUSPENSE       RTGS SUSPENSE        
---------------------------------------==================  ==================  ==================  ==================  ==================  ==================  ==================   
02370 VYTILLA                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02371 STARTUP BRANCH PUNE                      0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02372 MAHANADI VIHAR                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02373 VRINDAVAN                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02374 BHILAI CHARODA                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02375 BAREIPALI                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02376 NARSARAOPET                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02377 MID Corporate Branch Thane               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02378 MANDIDEEP                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02379 M P NAGAR BHOPAL                         0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02380 VIRUDHNAGAR                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02381 KRISHNAGIRI                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02382 RANIPETTAI                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02383 TENKASI                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02384 TIRUPATHUR                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02385 MID CORPORATE BRANCH HYDERABAD           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02386 HALDIA                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02387 KALIMPONG                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02388 MID CORPORATE BRANCH BANGLORE            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02389 DEVANAHALLI                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02390 MID CORPORATE BRANCH PUNE                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02391 CHALAKUDY                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02392 HFB ERNAKULAM                            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02393 IRINJALAKUDA                             0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02394 KUNNAMKULAM                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02395 SHIVALIK NAGAR                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02396 SURAJPUR                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02397 BAIKUNTHPUR                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02398 BALOD                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02399 TRANSPORT NAGAR KORBA                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02400 SHYAM NAGAR                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02401 LOHEGAON                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02402 KHANPUR                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02403 HFB THANE                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02404 SPECIAL FINANCE BRANCH                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02405 PARVATHIPURAM                            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02406 SAMBHAL                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02407 NOIDA SEC-16 B                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02408 HFB MOHALI                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02409 MID CORPORATE BRANCH TALAWADE            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02410 DHANORI                              52500.00-               0.00                0.00                  0.00              0.00                0.00                0.00
02411 CHIKHALI                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02412 CARANZALEM                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02413 MAVDI RAJKOT                             0.00                0.00                0.00               2144.00              0.00                0.00                0.00
02414 BAHODURPUR                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02415 HFB KOLKATA                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02416 KALYANPUR                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02417 HFB RAIPUR                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02418 HFB AHMEDABAD                            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02419 AKBARPUR                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
                                                                                Bank  of  Maharashtra                                                       Date: 07-MAR-25 02:56:42
                                                                          BOM_POSITION_OF_SUSPENSE_ACCOUNTS                                                                Page:  49
                                                                                As on date : 06-Mar-2025                                                                               
                                                                                                                                                                                    
Currency: INR                                                                                                                                                                       
 Branch=09999 (CENTRAL OFFICE)                                                                                                                                             
Branch                                 MULTI REMIT         TRICKLE FEED        O L R R             TECH CONTRA         CGL SUSPENSE        NEFT SUSPENSE       RTGS SUSPENSE        
---------------------------------------==================  ==================  ==================  ==================  ==================  ==================  ==================   
02420 BATALA                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02421 MALERKOTLA                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02422 HFB FORT MUMBAI                          0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02423 HFB NASIK                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02424 HFB HADAPSAR                             0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02425 HFB NAGPUR                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02426 HFB INDORE                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02427 BILASPUR HP                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02428 BARPETA                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02429 MANGALDOI                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02430 GOALPARA                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02431 KOKRAJHAR                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02432 RANGIA                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02433 DHARMANAGAR                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02434 PANNA ROAD SATNA                         0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02435 ADHARTAL                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02436 MID CORPORATE BRANCH CUFFE PARADE        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02437 MID CORPORATE BRANCH JAIPUR              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02438 HFB JAIPUR                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02439 PRATAPGARH                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02440 DUNGARPUR                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02441 ABU ROAD                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02442 HOUSING FINANCE BRANCH PATNA             0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02443 HFB LUCKNOW                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02444 HFB HEBBAL                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02445 HFB BHUBANESWAR                          0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02446 BHANJANAGAR                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02447 HABSIGUDA                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02448 MID CORPORATE  BRANCH TIRUPPUR           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02449 MCB COIMBATORE                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02450 MID CORPORATE BRANCH DELHI               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02451 KOTHAGUDEM                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02452 NAGARKURNOOL                             0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02453 NARSAMPET                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02454 ALUVA                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02455 CHERTHALA                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02456 KARUNAGAPPALLY                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02457 KESAVADASPURAM                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02458 KOTHANMANGALAM                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02459 OTTAPPALAM                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02460 PIRAVOM                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02461 THAMARASSERY                             0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02462 THRIPPUNITHURA                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02463 MANJERI                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02464 GREATER FARIDABAD                        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02465 KUNDLI                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02466 MAHAVIR TOLA ARRAH                       0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02467 SHEOHAR                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02468 SHEIKHPURA                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02469 KHODIYAR COLONY                          0.00                0.00                0.00                  0.00              0.00                0.00                0.00
                                                                                Bank  of  Maharashtra                                                       Date: 07-MAR-25 02:56:42
                                                                          BOM_POSITION_OF_SUSPENSE_ACCOUNTS                                                                Page:  50
                                                                                As on date : 06-Mar-2025                                                                               
                                                                                                                                                                                    
Currency: INR                                                                                                                                                                       
 Branch=09999 (CENTRAL OFFICE)                                                                                                                                             
Branch                                 MULTI REMIT         TRICKLE FEED        O L R R             TECH CONTRA         CGL SUSPENSE        NEFT SUSPENSE       RTGS SUSPENSE        
---------------------------------------==================  ==================  ==================  ==================  ==================  ==================  ==================   
02470 TILAK NAGAR                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02471 CHINCHOLI MIDC                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02472 GURUGRAM SECTOR 67                       0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02473 HFB KUKATPALLI                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02474 AZADPUR                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02475 NARAINA VIHAR                            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02476 MCB KOLKATA                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02477 BARI BRAHMANA                            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02478 RAMNAGAR COIMBATORE                      0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02479 YANAM                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02480 CHHOTA UDAIPUR                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02481 DOHAD                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02482 UMARGAON                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02483 BASMATH                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02484 MANJLEGAON                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02485 PVR CHOWK LATUR                          0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02486 AIIMS ROAD GORAKHPUR                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02487 AURAIYA                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02488 PEENYA                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02489 KHUNTI                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02490 LATEHAR                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02491 MID CORPORATE BRANCH                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02492 JALORE                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02493 ANISABAD                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02494 ASHOK RAJPATH                            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02495 DEHRI                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02496 SAKAT SANALA                             0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02497 TANDUR                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02498 ALLAPUR                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02499 BHINGA                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02500 MUGHALSARAI                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02501 BAORI KALAN                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02502 DUMARTARAI                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02503 MANJHANPUR                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02504 GHANSOLI                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02505 SANPADA                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02506 NOIDA SECTOR 122                         0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02507 HAILAKANDI                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02508 KARIMGANJ                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02509 PANJAGUTTA                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02510 SIRPUR TS                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02511 VEMULAWADA                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02512 HEBBAL                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02513 NEW AMRITSAR                             0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02514 CIVIL LINES LUDHIANA                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02515 LEH                                      0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02516 KANHANGAD                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02517 MAHE                                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02518 MITHANPURA                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02519 OKHLA INDUSTRIAL AREA                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
                                                                                Bank  of  Maharashtra                                                       Date: 07-MAR-25 02:56:42
                                                                          BOM_POSITION_OF_SUSPENSE_ACCOUNTS                                                                Page:  51
                                                                                As on date : 06-Mar-2025                                                                               
                                                                                                                                                                                    
Currency: INR                                                                                                                                                                       
 Branch=09999 (CENTRAL OFFICE)                                                                                                                                             
Branch                                 MULTI REMIT         TRICKLE FEED        O L R R             TECH CONTRA         CGL SUSPENSE        NEFT SUSPENSE       RTGS SUSPENSE        
---------------------------------------==================  ==================  ==================  ==================  ==================  ==================  ==================   
02520 VIJAYANAGAR MYSURU                       0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02521 MAIHAR                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02522 ARWAL                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02523 TANUKU                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02524 STATION ROAD REWA                        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02525 SUPREME COURT BRANCH                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02526 GOBICHETTIPALAYAM                        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02527 HFB COIMBATORE                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02528 THIRUMANGALAM                            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02529 VADAVALLI                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
02530 K R PURAM                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
